id;name;name_mapchart;lat;lon;zipfrom1;zipto1;zipfrom2;zipto2;distance
AC;Acre;Acre;-9.070003236;-68.66997929;69900;69999;;;2862
AL;Alagoas;Alagoas;-9.48000405;-35.83996769;57000;57999;;;2864
AP;Amapa;Amapá;-0.039598369;-51.17998743;68900;68999;;;2682
AM;Amazonas;Amazonas;-3.289580873;-60.6199797;69000;69299;69400;69899;2731
BA;Bahia;Bahia;-16.28000242;-39.0299797;40000;48999;;;1140
CE;Ceara;Ceará;-2.89999225;-40.85002364;60000;63999;;;2396
DF;Distrito Federal;Distrito_Federal;-15.78334023;-47.91605229;70000;72799;73000;73699;896
ES;Espirito Santo;Espírito_Santo;-20.85000771;-41.12998071;29000;29999;;;641
GO;Goias;Goiás;-17.73004311;-49.10998458;72800;72999;73700;76799;719
MA;Maranhao;Maranhão;-5.809995505;-46.14998438;65000;65999;;;1994
MT;Mato Grosso;Mato_Grosso;-15.65001504;-56.14002059;78000;78899;;;1349
MS;Mato Grosso Do Sul;Mato_Grosso_do_Sul;-22.53000853;-55.7299681;79000;79999;;;950
MG;Minas Gerais;Minas_Gerais;-18.78000486;-42.95002466;30000;39999;;;664
PA;Para;Pará;-1.190019105;-47.17999903;66000;68899;;;2508
PB;Paraiba;Paraíba;-7.019585756;-37.29000838;58000;58999;;;2104
PR;Parana;Paraná;-24.08996499;-54.2699797;80000;87999;;;787
PE;Pernambuco;Pernambuco;-8.110010153;-35.02004358;50000;56999;;;2126
PI;Piaui;Piauí;-4.820030091;-42.18001998;64000;64999;;;2154
RJ;Rio De Janeiro;Rio_de_Janeiro;-22.56003253;-44.1699502;20000;28999;;;274
RN;Rio Grande Do Norte;Rio_Grande_do_Norte;-5.650005271;-37.80000309;59000;59999;;;2217
RS;Rio Grande Do Sul;Rio_Grande_do_Sul;-30.88004148;-55.53000615;90000;99999;;;1192
RO;Rondonia;Rondônia;-11.64002724;-61.20999536;76800;76999;78900;78999;2053
RR;Roraima;Roraima;1.816231505;-61.12767481;69300;69399;;;3250
SC;Santa Catarina;Santa_Catarina;-27.23003172;-52.03001306;88000;89999;;;675
SP;Sao Paulo;São_Paulo;-23.65283405;-46.52781661;1000;9999;11000;19999;0
SE;Sergipe;Sergipe;-11.26961058;-37.45002446;49000;49999;;;1686
TO;Tocantins;Tocantins;-6.319576804;-47.41998438;77000;77999;;;1939